"sbjCode","condit","distortion","Pattern_Token","Category","Response","Corr","rt","x1","y1","x2","y2","x3","y3","x4","y4","x5","y5","x6","y6","x7","y7","x8","y8","x9","y9"
"107","high","high","new_high",2,2,1,2477,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"11","high","high","new_high",2,3,0,944,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"111","high","high","new_high",2,2,1,818,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"115","high","high","new_high",2,2,1,814,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"15","high","high","new_high",2,1,0,2051,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"19","high","high","new_high",2,2,1,2774,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"23","high","high","new_high",2,1,0,1164,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"27","high","high","new_high",2,3,0,340,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"3","high","high","new_high",2,2,1,942,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"31","high","high","new_high",2,1,0,912,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"35","high","high","new_high",2,2,1,829,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"39","high","high","new_high",2,1,0,1117,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"43","high","high","new_high",2,1,0,1182,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"47","high","high","new_high",2,2,1,1344,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"51","high","high","new_high",2,3,0,864,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"55","high","high","new_high",2,2,1,510,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"59","high","high","new_high",2,1,0,1477,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"63","high","high","new_high",2,2,1,5942,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"67","high","high","new_high",2,1,0,1485,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"7","high","high","new_high",2,3,0,56,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
