"sbjCode","condit","distortion","Pattern_Token","Category","Response","Corr","rt","x1","y1","x2","y2","x3","y3","x4","y4","x5","y5","x6","y6","x7","y7","x8","y8","x9","y9"
"sub254","medium","high","new_high",3,3,1,1473,-21,-10,-5,10,-9,-2,-15,-2,3,10,6,-12,-12,-2,-13,7,12,16
"sub74","medium","high","new_high",1,1,1,1297,-21,-10,16,15,-13,-6,-14,-13,4,-6,20,11,-18,0,3,-8,-2,0
"sub101","mixed","med","new_med",1,1,1,1447,-21,-10,0,-6,-9,16,12,-2,10,11,-14,7,-14,12,-11,-7,7,-6
"sub321","mixed","high","new_high",2,3,0,3293,-21,-10,-8,9,-7,-15,8,-9,-1,8,17,-4,-8,-17,-16,13,-8,-2
"sub99","medium","high","new_high",1,2,0,3989,-21,-9,18,-1,10,2,-5,11,-2,-15,-7,-1,7,4,-12,-6,4,-18
"sub341","mixed","high","new_high",3,3,1,1476,-21,-9,-13,10,12,2,2,9,2,-18,9,-13,-4,-13,-3,13,-2,3
"sub229","low","high","new_high",2,2,1,778,-21,-7,-3,-9,9,-13,4,-8,7,-7,14,5,-12,-7,-3,-1,-14,-15
"sub95","medium","med","new_med",2,2,1,1174,-21,-7,-3,-8,-1,13,-19,8,8,12,-6,-6,-3,11,16,12,14,6
"sub15","high","high","old",1,3,0,143,-21,-7,7,1,5,5,-10,-10,8,-1,-15,6,-9,5,-15,-7,-7,2
"sub63","high","high","new_high",3,3,1,535,-21,-7,-1,-10,-11,-10,-6,-9,10,1,-4,-1,4,-10,-13,9,-8,-15
"sub347","medium","high","new_high",3,3,1,6026,-21,-6,9,5,8,3,-14,-10,-6,7,-8,-12,1,4,0,10,-5,1
"sub341","mixed","high","new_high",3,3,1,995,-21,-6,-4,12,9,6,4,18,-7,-16,13,-14,2,-17,2,3,-11,4
"sub399","medium","high","new_high",1,1,1,663,-21,-4,5,-6,1,-3,-16,2,-6,9,-6,1,24,-11,13,-9,13,2
"sub262","medium","med","new_med",2,2,1,982,-21,-3,-8,-7,-9,-12,-4,12,-4,7,2,8,17,14,17,5,-8,-15
"sub274","medium","med","old",2,2,1,1294,-21,-3,-1,6,7,8,3,3,14,-12,8,5,11,-5,-10,3,-9,9
"sub33","low","high","new_high",1,1,1,3641,-21,-2,-3,-11,-9,-11,-12,11,2,-16,13,-7,-14,6,10,-1,10,-21
