"id","sbjCode","condit","Category","Pattern.Type","file","n","Corr","item_label"
"103.medium","103","medium",3,"prototype","dot_cond2_sub103.txt",1,1,"103_medium_3_271"
"103.medium","103","medium",3,"old","dot_cond2_sub103.txt",99,0.898989898989899,"103_medium_3_271"
"103.medium","103","medium",3,"new_low","dot_cond2_sub103.txt",3,1,"103_medium_3_271"
"103.medium","103","medium",3,"new_med","dot_cond2_sub103.txt",6,1,"103_medium_3_271"
"103.medium","103","medium",3,"new_high","dot_cond2_sub103.txt",9,0.666666666666667,"103_medium_3_271"
"104.high","104","high",1,"prototype","dot_cond3_sub104.txt",1,0,"104_high_1_290"
"104.high","104","high",1,"old","dot_cond3_sub104.txt",99,0.363636363636364,"104_high_1_290"
"104.high","104","high",1,"new_low","dot_cond3_sub104.txt",3,0.666666666666667,"104_high_1_290"
"104.high","104","high",1,"new_med","dot_cond3_sub104.txt",6,0.666666666666667,"104_high_1_290"
"104.high","104","high",1,"new_high","dot_cond3_sub104.txt",9,0.333333333333333,"104_high_1_290"
"104.high","104","high",2,"prototype","dot_cond3_sub104.txt",1,0,"104_high_2_316"
"104.high","104","high",2,"old","dot_cond3_sub104.txt",99,0.353535353535354,"104_high_2_316"
"104.high","104","high",2,"new_low","dot_cond3_sub104.txt",3,0.333333333333333,"104_high_2_316"
"104.high","104","high",2,"new_med","dot_cond3_sub104.txt",6,0.5,"104_high_2_316"
"104.high","104","high",2,"new_high","dot_cond3_sub104.txt",9,0.444444444444444,"104_high_2_316"
"104.high","104","high",3,"prototype","dot_cond3_sub104.txt",1,1,"104_high_3_282"
"104.high","104","high",3,"old","dot_cond3_sub104.txt",99,0.292929292929293,"104_high_3_282"
"104.high","104","high",3,"new_low","dot_cond3_sub104.txt",3,0.666666666666667,"104_high_3_282"
"104.high","104","high",3,"new_med","dot_cond3_sub104.txt",6,0.5,"104_high_3_282"
"104.high","104","high",3,"new_high","dot_cond3_sub104.txt",9,0.222222222222222,"104_high_3_282"
