"","phase","block","trial","itemtype","category","token","distortion","response","correct","rt","dot1x","dot1y","dot2x","dot2y","dot3x","dot3y","dot4x","dot4y","dot5x","dot5y","dot6x","dot6y","dot7x","dot7y","dot8x","dot8y","dot9x","dot9y","ID","condition"
"7752",2,1,48,5,1,1,3,2,0,233,5,-1,-5,-1,-11,6,13,1,9,3,20,-8,7,5,10,7,0,-4,22,2
"7753",2,1,49,3,2,3,1,3,0,204,9,-6,0,-8,5,0,-7,-11,1,-13,9,5,-14,16,5,8,5,-11,22,2
"7754",2,1,50,1,2,49,2,1,0,254,8,-7,2,-5,6,-2,-15,-13,-1,-11,11,5,-11,20,8,5,5,-12,22,2
"7755",2,1,51,1,1,29,2,2,0,206,14,-9,4,-8,-8,4,7,1,3,2,15,-6,4,6,13,13,-1,-3,22,2
"7756",2,1,52,1,2,2,2,3,0,34,7,-6,3,-9,3,1,-5,-13,-1,-14,11,6,-13,16,5,9,7,-10,22,2
"7757",2,1,53,5,1,4,3,3,0,0,23,-18,4,-8,-10,3,11,-2,5,5,7,-13,-2,-2,19,11,-7,0,22,2
"7758",2,1,54,4,2,1,2,3,0,0,8,-5,7,-7,6,1,-2,-3,-1,-9,11,5,-15,15,6,6,9,-12,22,2
"7759",2,1,55,1,3,12,2,1,0,356,-4,2,1,-19,2,-8,-10,1,9,10,-12,-9,-2,-5,5,10,7,-7,22,2
"7760",2,1,56,1,3,14,2,2,0,78,-4,3,8,-9,-9,-14,-11,0,7,8,-14,-8,6,-15,5,13,6,-7,22,2
"7761",2,1,57,1,3,43,2,2,0,790,-4,2,11,-9,1,-9,-13,1,8,11,-10,-7,5,-15,6,12,10,-15,22,2
"7762",2,1,58,3,1,3,1,1,1,274,14,-10,5,-6,-11,1,8,1,-6,-4,12,-4,6,7,15,12,-2,-5,22,2
"7763",2,1,59,5,1,8,3,2,0,0,13,-10,5,-5,-3,-8,7,0,5,1,15,-9,8,9,10,8,-2,-2,22,2
"7764",2,1,60,5,2,7,3,2,1,718,10,-3,6,-8,15,-8,2,-2,10,-7,14,1,-18,15,-2,13,3,-9,22,2
"7765",2,1,61,1,3,42,2,3,1,410,-4,3,12,-8,0,-8,-9,-1,7,10,-9,-7,3,-12,6,14,8,-17,22,2
"7766",2,1,62,5,3,9,3,2,0,180,-5,1,7,-13,-1,-6,-1,1,15,16,-14,-3,3,-11,3,12,12,-10,22,2
"7767",2,1,63,4,2,3,2,1,0,0,7,-5,6,-9,4,-1,-12,-10,-1,-13,9,7,-14,5,6,6,5,-12,22,2
"7768",2,1,64,1,1,85,2,1,1,853,23,-19,4,-6,-12,4,13,3,3,2,14,-4,6,9,14,16,0,-6,22,2
"7769",2,1,65,4,2,6,2,2,1,382,10,-6,12,-8,4,-1,-7,-13,0,-13,13,4,-14,14,6,13,3,-10,22,2
"7770",2,1,66,3,3,3,1,1,0,393,-10,4,11,-9,1,-7,-9,0,5,8,-13,-8,3,-12,4,12,7,-7,22,2
"7771",2,1,67,3,1,2,1,3,0,386,12,-8,4,-7,-10,2,7,-1,3,0,15,-6,6,6,15,11,-3,-6,22,2
"7772",2,1,68,4,1,1,2,2,0,316,13,-10,5,-6,-9,1,9,0,3,-1,13,-6,7,13,17,13,-2,-4,22,2
"7773",2,1,69,1,1,79,2,2,0,297,13,-10,3,-7,-11,1,3,-1,5,1,10,-8,1,12,17,20,-1,-3,22,2
"7774",2,1,70,5,3,8,3,1,0,571,-3,5,10,-14,1,-10,-12,2,6,19,-14,-7,3,-14,3,15,7,-8,22,2
"7775",2,1,71,4,1,4,2,2,0,301,13,-10,5,-8,-8,0,9,-2,4,0,12,-5,3,6,17,7,-10,3,22,2
"7776",2,1,72,1,1,24,2,3,0,682,14,-11,2,-8,-9,1,7,1,2,3,13,-4,4,8,14,12,-1,-6,22,2
"7777",2,1,73,4,1,6,2,2,0,426,12,-7,4,-5,-9,3,8,-1,5,2,12,-3,3,5,14,11,-4,-4,22,2
"7778",2,1,74,5,2,5,3,1,0,373,7,-5,1,-17,6,-1,-7,-12,-7,-16,4,14,-14,17,5,5,2,-9,22,2
"7779",2,1,75,1,2,12,2,2,1,320,-1,-16,8,-9,6,-2,-2,-11,8,-13,10,7,-16,16,5,7,3,-10,22,2
"7780",2,1,76,5,1,9,3,3,0,748,4,-16,6,-8,-10,1,10,0,4,0,10,-7,4,7,15,13,-1,-4,22,2
"7781",2,1,77,3,1,1,1,2,0,167,12,-8,4,-7,-11,2,8,1,4,0,15,-5,5,6,11,22,-2,-5,22,2
"7782",2,1,78,4,1,5,2,1,1,0,15,-9,3,-8,-9,2,7,1,7,-9,14,-6,5,6,19,10,3,-1,22,2
"7783",2,1,79,4,2,2,2,1,0,61,9,-6,3,-8,5,1,-6,-13,-1,-11,8,7,-15,15,5,12,6,-13,22,2
"7784",2,1,80,1,1,12,2,2,0,245,11,-10,3,-6,-8,0,9,0,3,2,12,-3,11,13,16,12,-3,-6,22,2
"7785",2,1,81,3,2,2,1,3,0,454,8,-6,8,-9,5,0,-6,-10,1,-12,0,15,-14,15,6,7,4,-11,22,2
"7786",2,1,82,5,3,3,3,2,0,269,-9,9,19,-2,-5,-18,-10,1,-2,15,-18,-5,8,-15,5,10,10,-11,22,2
"7787",2,1,83,2,3,0,0,1,0,172,-4,4,10,-9,1,-8,-11,1,7,9,-13,-8,4,-13,4,12,8,-8,22,2
"7788",2,1,84,1,2,37,2,1,0,190,6,-4,7,-9,4,-1,-9,-12,1,-13,7,6,-23,17,8,1,5,-13,22,2
"7789",1,1,1,1,1,6,3,1,1,5546,13,-8,12,0,-2,21,-3,24,9,-24,-4,1,-7,-1,5,-5,-3,-9,23,3
"7790",1,1,2,1,3,9,3,2,0,2950,15,-8,-5,-7,9,9,1,-8,18,12,7,8,6,-15,4,3,6,2,23,3
"7791",1,1,3,1,2,4,3,3,0,1918,-11,-16,-18,16,16,-7,-11,-1,-8,-9,-2,6,4,-4,-10,-10,-3,4,23,3
"7792",1,1,4,1,2,2,3,3,0,1886,-13,-8,-17,13,11,-10,-16,4,-8,-11,-2,-4,3,6,-10,-12,-4,9,23,3
"7793",1,1,5,1,3,1,3,2,0,1616,20,2,-5,-7,10,4,4,-11,15,16,14,4,2,-12,0,4,6,3,23,3
"7794",1,1,6,1,3,5,3,3,1,2142,10,-3,-10,-12,21,0,1,-8,12,5,0,2,0,-2,3,-5,7,1,23,3
"7795",1,1,7,1,2,7,3,2,1,1621,-8,-11,-21,10,19,-7,-13,4,-5,-14,-6,1,12,0,-10,-10,-1,6,23,3
"7796",1,1,8,1,2,5,3,1,0,1152,-8,-10,-13,12,15,-12,-18,4,-5,-16,4,10,12,12,-20,-19,2,2,23,3
"7797",1,1,9,1,1,3,3,1,1,877,9,-11,9,-2,0,13,-2,17,4,-14,-2,6,4,-7,1,0,8,-23,23,3
"7798",1,1,10,1,3,8,3,3,1,982,8,-7,-3,-10,13,5,11,0,10,6,13,-3,3,-13,6,0,6,4,23,3
"7799",1,1,11,1,3,6,3,3,1,988,10,-5,-9,-15,14,3,0,-5,12,9,12,2,-2,-10,4,-1,9,6,23,3
"7800",1,1,12,1,1,5,3,1,1,784,6,8,8,-2,2,10,5,14,6,-14,1,4,-6,-4,3,1,8,-13,23,3
"7801",1,1,13,1,3,2,3,3,1,909,4,-1,-10,-15,23,-1,1,-7,9,12,8,4,-6,-14,0,0,13,2,23,3
"7802",1,1,14,1,1,2,3,3,0,2262,-3,-6,18,7,6,11,4,15,0,-16,1,4,-1,-2,4,-5,9,-13,23,3
"7803",1,1,15,1,2,3,3,2,1,1128,-13,-7,-14,19,6,-2,-9,11,-1,-18,-5,1,6,5,-7,-16,-2,6,23,3
"7804",1,1,16,1,1,7,3,1,1,841,6,0,2,-12,2,14,0,10,7,-18,10,12,-3,-4,1,-9,2,-16,23,3
"7805",1,1,17,1,3,7,3,3,1,580,5,-3,-7,-2,14,3,2,-7,18,13,16,4,-5,-9,2,-1,6,5,23,3
"7806",1,1,18,1,2,9,3,2,1,1802,-9,-19,-12,11,17,-9,-22,2,-8,-12,0,1,9,3,-9,-14,-2,4,23,3
"7807",1,1,19,1,1,4,3,1,1,1422,9,3,12,-2,6,6,2,17,4,-13,0,5,-11,-6,6,-5,15,-3,23,3
"7808",1,1,20,1,1,1,3,1,1,913,7,-4,10,-1,-2,10,13,13,4,-12,9,10,-6,9,5,-5,16,-20,23,3
"7809",1,1,21,1,1,9,3,1,1,794,15,6,10,-2,4,18,2,16,13,-16,3,3,-4,1,-2,-4,-2,-18,23,3
"7810",1,1,22,1,2,1,3,2,1,789,1,-16,-12,17,19,-7,-14,0,-3,-16,0,-1,5,4,-12,-11,-4,8,23,3
"7811",1,1,23,1,2,6,3,3,0,1041,-4,-10,-16,14,21,-6,-9,10,0,-13,1,-1,12,15,-16,-12,8,7,23,3
"7812",1,1,24,1,3,3,3,3,1,821,8,-7,-1,-8,21,9,0,-11,15,16,13,0,2,-13,2,0,2,-3,23,3
"7813",1,1,25,1,2,8,3,2,1,1424,-9,-8,-12,9,16,-11,-14,3,-5,-17,-2,10,2,4,-13,-13,-2,4,23,3
"7814",1,1,26,1,3,4,3,3,1,756,0,2,-4,-8,16,9,-7,1,13,6,15,4,9,-3,2,0,7,5,23,3
"7815",1,1,27,1,1,8,3,1,1,1314,3,-8,14,-4,-2,18,1,16,10,-12,6,8,-6,0,9,-7,9,-22,23,3
"7816",1,2,1,1,2,10,3,2,1,1291,-8,-9,-16,5,18,-11,-22,-4,-2,-12,5,-6,-1,1,-11,-7,5,8,23,3
"7817",1,2,2,1,1,11,3,1,1,852,4,-4,16,7,5,16,-4,20,5,-13,4,4,-9,5,8,-8,11,-17,23,3
"7818",1,2,3,1,2,16,3,2,1,1359,-9,-10,-13,13,10,-9,-13,3,-3,-15,1,-5,5,-3,-11,-12,-1,3,23,3
"7819",1,2,4,1,1,12,3,1,1,709,4,-11,8,-12,0,15,7,12,6,-16,-3,2,-10,-11,3,-2,12,-16,23,3
"7820",1,2,5,1,1,17,3,1,1,902,5,-3,17,-4,1,15,0,22,-4,-22,-4,6,-6,-2,1,0,8,-15,23,3
"7821",1,2,6,1,3,13,3,3,1,670,3,-5,1,-9,15,5,-1,-7,12,8,18,1,2,-16,-3,-3,9,4,23,3
"7822",1,2,7,1,2,17,3,2,1,1504,-15,-10,-11,5,17,-10,-6,-3,-14,-7,-6,0,8,2,-10,-7,2,11,23,3
"7823",1,2,8,1,2,12,3,2,1,991,-12,-12,-15,14,16,-12,-22,-4,-4,-12,-5,-1,7,4,-13,-10,-1,5,23,3
"7824",1,2,9,1,3,11,3,3,1,596,9,-3,-11,-6,11,6,9,-13,6,6,17,0,1,-19,8,4,4,1,23,3
"7825",1,2,10,1,2,13,3,2,1,1495,-19,-14,-12,23,10,-4,-21,11,-14,-6,-1,7,7,4,-7,-15,-11,9,23,3
"7826",1,2,11,1,3,12,3,3,1,617,11,-5,-8,-13,15,6,0,-2,10,4,14,12,3,-5,-5,3,8,5,23,3
"7827",1,2,12,1,1,15,3,1,1,748,5,0,12,-1,4,11,3,22,6,-15,-3,3,-6,-2,3,-2,10,-17,23,3
"7828",1,2,13,1,3,10,3,3,1,1307,10,-3,-5,-6,14,3,1,-1,10,8,11,3,2,-8,6,-2,8,12,23,3
